Trial,Channel,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
2,EI,"Mean: 0.50, Std: 0.02, RMS: 0.50, Max: 0.70, Min: 0.48","Mean: 0.55, Std: 0.04, RMS: 0.55, Max: 0.63, Min: 0.49","Mean: 0.58, Std: 0.01, RMS: 0.58, Max: 0.60, Min: 0.50","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.56, Min: 0.48","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.56, Min: 0.51","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.60, Min: 0.50","Mean: 0.56, Std: 0.03, RMS: 0.56, Max: 0.61, Min: 0.51"
2,ECU,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.51, Min: 0.47","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.50","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.49","Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.52, Min: 0.50","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.56, Min: 0.50"
2,ECR,"Mean: 0.56, Std: 0.03, RMS: 0.56, Max: 0.63, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.50, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.54, Min: 0.47"
3,APL,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.51, Std: 0.03, RMS: 0.51, Max: 0.57, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.49, Std: 0.02, RMS: 0.49, Max: 0.58, Min: 0.47"
3,FCR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.46","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.50, Min: 0.47"
3,FDS,"Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.51, Min: 0.50","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.54, Min: 0.50","Mean: 0.54, Std: 0.00, RMS: 0.54, Max: 0.55, Min: 0.52","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.51","Mean: 0.55, Std: 0.01, RMS: 0.55, Max: 0.56, Min: 0.50","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.54, Min: 0.47","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.55, Min: 0.52"
3,FDP,"Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.49","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.52, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.47","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.44"
3,ED,"Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.41","Mean: 0.41, Std: 0.01, RMS: 0.41, Max: 0.44, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.45, Min: 0.41","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.40","Mean: 0.41, Std: 0.01, RMS: 0.41, Max: 0.43, Min: 0.40"
3,EI,"Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.56, Min: 0.49","Mean: 0.52, Std: 0.02, RMS: 0.52, Max: 0.58, Min: 0.48","Mean: 0.59, Std: 0.02, RMS: 0.59, Max: 0.61, Min: 0.50","Mean: 0.55, Std: 0.01, RMS: 0.55, Max: 0.56, Min: 0.49","Mean: 0.56, Std: 0.01, RMS: 0.56, Max: 0.58, Min: 0.54","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.60, Min: 0.50","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.59, Min: 0.50"
3,ECU,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.49, Std: 0.01, RMS: 0.49, Max: 0.52, Min: 0.44","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.49","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.51","Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.52, Min: 0.47","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.56, Min: 0.47"
3,ECR,"Mean: 0.55, Std: 0.02, RMS: 0.55, Max: 0.62, Min: 0.49","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.48","Mean: 0.49, Std: 0.01, RMS: 0.49, Max: 0.51, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.48","Mean: 0.49, Std: 0.01, RMS: 0.49, Max: 0.51, Min: 0.48"
4,APL,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.51, Std: 0.03, RMS: 0.51, Max: 0.59, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.48","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.57, Min: 0.47"
4,FCR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.48, Min: 0.47","Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.46","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.46","Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.50, Min: 0.47"
4,FDS,"Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.51, Min: 0.50","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.55, Min: 0.49","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.52","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.54, Min: 0.52","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.57, Min: 0.42","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.51","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.54, Min: 0.51"
4,FDP,"Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.52, Min: 0.48","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.49","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.49"
4,ED,"Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.41","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.41","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.45, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.45, Min: 0.40","Mean: 0.41, Std: 0.01, RMS: 0.41, Max: 0.44, Min: 0.40"
4,EI,"Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.49","Mean: 0.52, Std: 0.02, RMS: 0.52, Max: 0.57, Min: 0.50","Mean: 0.59, Std: 0.01, RMS: 0.59, Max: 0.61, Min: 0.52","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.51","Mean: 0.56, Std: 0.01, RMS: 0.56, Max: 0.58, Min: 0.51","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.59, Min: 0.51","Mean: 0.53, Std: 0.02, RMS: 0.53, Max: 0.60, Min: 0.47"
4,ECU,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.49","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.49","Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.52, Min: 0.48","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.46","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.56, Min: 0.46"
4,ECR,"Mean: 0.56, Std: 0.02, RMS: 0.56, Max: 0.60, Min: 0.42","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.47","Mean: 0.50, Std: 0.00, RMS: 0.50, Max: 0.50, Min: 0.47","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.47"
5,APL,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.50, Std: 0.03, RMS: 0.50, Max: 0.56, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.49, Std: 0.02, RMS: 0.49, Max: 0.58, Min: 0.46"
5,FCR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.46","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.52, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.51, Min: 0.47"
5,FDS,"Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.52, Min: 0.51","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.55, Min: 0.51","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.44","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.54, Min: 0.47","Mean: 0.55, Std: 0.01, RMS: 0.55, Max: 0.57, Min: 0.50","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.50","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.55, Min: 0.51"
5,FDP,"Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.51, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.49","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.49","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.46"
5,ED,"Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.41","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.43, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.41","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.45, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.43, Min: 0.41"
5,EI,"Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.49","Mean: 0.53, Std: 0.02, RMS: 0.53, Max: 0.56, Min: 0.48","Mean: 0.58, Std: 0.01, RMS: 0.58, Max: 0.61, Min: 0.55","Mean: 0.54, Std: 0.01, RMS: 0.55, Max: 0.57, Min: 0.47","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.51","Mean: 0.55, Std: 0.02, RMS: 0.55, Max: 0.59, Min: 0.50","Mean: 0.54, Std: 0.03, RMS: 0.54, Max: 0.61, Min: 0.49"
5,ECU,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.49","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.48","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.52, Min: 0.47","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.55, Min: 0.48"
5,ECR,"Mean: 0.56, Std: 0.02, RMS: 0.56, Max: 0.62, Min: 0.43","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.46","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.51, Min: 0.47"
