Task,Sensor,Feature,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,CV_RMS_Percent,SD_RMS
Task_5,ECR,RMS_Amplitude,0.4976,0.4821,0.4943,0.4951,0.4855,1.3732,0.0067
Task_6,APL,RMS_Amplitude,0.4792,0.4793,0.4793,0.4792,0.4790,0.0244,0.0001
Task_6,FCR,RMS_Amplitude,0.4847,0.4798,0.4798,0.4788,0.4783,0.5376,0.0026
Task_6,FDS,RMS_Amplitude,0.5183,0.5220,0.5220,0.5188,0.5209,0.3350,0.0017
Task_6,FDP,RMS_Amplitude,0.5122,0.5158,0.5158,0.5098,0.5020,1.1169,0.0057
Task_6,ED,RMS_Amplitude,0.4173,0.4211,0.4211,0.4245,0.4208,0.6074,0.0026
Task_6,EI,RMS_Amplitude,0.5361,0.5417,0.5417,0.5413,0.5495,0.8841,0.0048
Task_6,ECU,RMS_Amplitude,0.5105,0.5107,0.5107,0.5113,0.5115,0.0896,0.0005
Task_6,ECR,RMS_Amplitude,0.4966,0.4969,0.4969,0.4967,0.4958,0.0949,0.0005
Task_7,APL,RMS_Amplitude,0.4811,0.4886,0.4883,0.4833,0.4866,0.6757,0.0033
Task_7,FCR,RMS_Amplitude,0.4753,0.4794,0.4747,0.4742,0.4786,0.5009,0.0024
Task_7,FDS,RMS_Amplitude,0.5497,0.5340,0.5287,0.5272,0.5288,1.7443,0.0093
Task_7,FDP,RMS_Amplitude,0.4989,0.5087,0.5045,0.5014,0.5027,0.7314,0.0037
Task_7,ED,RMS_Amplitude,0.4113,0.4145,0.4130,0.4118,0.4120,0.3049,0.0013
Task_7,EI,RMS_Amplitude,0.5391,0.5607,0.5403,0.5280,0.5426,2.1827,0.0118
Task_7,ECU,RMS_Amplitude,0.5082,0.5239,0.5164,0.5152,0.5191,1.1130,0.0057
Task_7,ECR,RMS_Amplitude,0.4919,0.4977,0.4906,0.4870,0.4854,0.9759,0.0048
